,precision,recall,f1-score,support
0,0.0,0.0,0.0,3879.0
1,0.5377496346809547,0.33053892215568864,0.40941961802336363,3340.0
2,0.9996992481203008,0.9843055966834469,0.9919427036705463,3377.0
3,0.988241139450149,1.0,0.9940857975843398,5967.0
4,0.4584035383319292,1.0,0.6286374467470576,4353.0
accuracy,0.7051061388410786,0.7051061388410786,0.7051061388410786,0.7051061388410786
macro avg,0.5968187121166668,0.6629689037678271,0.6048171132050614,20916.0
weighted avg,0.6246095631188837,0.7051061388410786,0.6399608335422244,20916.0
