,precision,recall,f1-score,support
0,0.7418126428027418,0.25116039195461576,0.3752648815257176,3878.0
1,0.2090623910770303,0.8976354384914697,0.3391383014813977,3341.0
2,0.0,0.0,0.0,3377.0
3,1.0,0.8806770571476454,0.936553199073249,5967.0
4,0.0,0.0,0.0,4353.0
accuracy,0.44119334480780265,0.44119334480780265,0.44119334480780265,0.44119334480780265
macro avg,0.39017500677595446,0.40589457751874625,0.3301912764160728,20916.0
weighted avg,0.45621662255581324,0.44119334480780265,0.3909328368080015,20916.0
