,precision,recall,f1-score,support
0,0.9979188345473465,0.24722866718226347,0.39628099173553716,3879.0
1,0.7787839586028461,0.9011976047904192,0.835530881332408,3340.0
2,0.7938274728054642,0.9292271246668641,0.8562073669849931,3377.0
3,0.913642627468994,1.0,0.9548727796447433,5967.0
4,0.6195148055654656,0.7978405697220308,0.697459584295612,4353.0
accuracy,0.791116848345764,0.791116848345764,0.791116848345764,0.791116848345764
macro avg,0.8207375397980232,0.7750987932723155,0.7480703207986588,20916.0
weighted avg,0.8271789282530444,0.791116848345764,0.7627188198259559,20916.0
