,precision,recall,f1-score,support
0,0.9989281886387996,0.24026811033771592,0.3873649210307565,3879.0
1,0.7743100335310807,0.8988023952095808,0.8319246224192878,3340.0
2,0.7749875683739433,0.9227353463587922,0.8424324324324325,3378.0
3,0.9098810612991766,1.0,0.952814371257485,5967.0
4,0.6180568120137507,0.784746152079026,0.6914979757085021,4353.0
accuracy,0.7856767222833102,0.7856767222833102,0.7856767222833102,0.7856767222833102
macro avg,0.8152327327713502,0.769310400797023,0.7412068645696928,20917.0
weighted avg,0.8222310827154437,0.7856767222833102,0.7564415339612758,20917.0
