,precision,recall,f1-score,support
0,0.6650228953856991,0.9736977823620423,0.7902888237756384,3878.0
1,0.9817444219066938,0.14486680634540558,0.25247782994261875,3341.0
2,0.9695493300852619,0.9428486822623631,0.9560126107191113,3377.0
3,0.9768900627269727,0.9917881682587565,0.9842827442827443,5967.0
4,0.8056635202665186,1.0,0.8923739237392374,4353.0
accuracy,0.8469592656339644,0.8469592656339644,0.8469592656339644,0.8469592656339644
macro avg,0.8797740460742292,0.8106402878457135,0.77508718649187,20916.0
weighted avg,0.8830221503923282,0.8469592656339644,0.8077281459175124,20916.0
