,precision,recall,f1-score,support
0,1.0,0.24465068316576438,0.39312344656172327,3879.0
1,0.78636245786881,0.9080838323353293,0.8428511879949978,3340.0
2,0.7903184713375796,0.9185667752442996,0.8496302382908791,3377.0
3,0.9123853211009174,1.0,0.9541856560326217,5967.0
4,0.6187776793622675,0.8024351022283482,0.6987397479495899,4353.0
accuracy,0.7909734174794416,0.7909734174794416,0.7909734174794416,0.7909734174794416
macro avg,0.8215687859339148,0.7747472785947483,0.7477060553659625,20916.0
weighted avg,0.8276964303051232,0.7909734174794416,0.762310674325671,20916.0
