,precision,recall,f1-score,support
0,1.0,0.2514182568334193,0.40181331135380177,3878.0
1,0.7768041237113402,0.9021251122418438,0.8347874255643263,3341.0
2,0.787635084192008,0.9280426413976902,0.8520935290918977,3377.0
3,0.9139224996170929,1.0,0.9550256081946222,5967.0
4,0.6238069511975509,0.7957730300941879,0.6993741166969514,4353.0
accuracy,0.791451520367183,0.791451520367183,0.791451520367183,0.791451520367183
macro avg,0.8204337317435983,0.7754718081134282,0.7486187981803198,20916.0
weighted avg,0.8272113917773058,0.791451520367183,0.7634246506054186,20916.0
