,precision,recall,f1-score,support
0,0.660445629403923,0.8940448569218871,0.7596933187294633,3879.0
1,0.8216098622189992,0.33922155688622757,0.48018648018648014,3340.0
2,0.9835477116362549,0.9736452472608824,0.9785714285714285,3377.0
3,0.9759076459762422,0.9775431540137423,0.9767247153382451,5967.0
4,0.8290374546919049,0.9457845164254537,0.8835711986264619,4353.0
accuracy,0.8528877414419583,0.8528877414419583,0.8528877414419583,0.8528877414419583
macro avg,0.8541096607854648,0.8260478663016386,0.8157494282904159,20916.0
weighted avg,0.8634312068406487,0.8528877414419583,0.8380957518409086,20916.0
