,precision,recall,f1-score,support
0,0.0,0.0,0.0,3879.0
1,0.43646080760095013,0.22005988023952097,0.29259554140127386,3340.0
2,1.0,0.798105387803434,0.8877181429041818,3378.0
3,1.0,0.5196916373386962,0.6839435377150419,5967.0
4,0.32410096046459685,1.0,0.4895411605937922,4353.0
accuracy,0.5203901133049672,0.5203901133049672,0.5203901133049672,0.5203901133049672
macro avg,0.5521123536131094,0.5075713810763303,0.470759676522858,20917.0
weighted avg,0.5839073757369395,0.5203901133049672,0.4870700748970222,20917.0
