,precision,recall,f1-score,support
0,0.9989561586638831,0.24671307037896364,0.39569981393425674,3879.0
1,0.7726922087940344,0.8997005988023952,0.8313736339742702,3340.0
2,0.7804632426988922,0.9177027827116637,0.8435374149659863,3378.0
3,0.9083574364439032,1.0,0.9519783024888321,5967.0
4,0.6237337192474675,0.7922794117647058,0.6979757085020243,4352.0
accuracy,0.7877701281315739,0.7877701281315739,0.7877701281315739,0.7877701281315739
macro avg,0.8168405531696361,0.7712791727315457,0.7441129747730739,20916.0
weighted avg,0.8236185561336721,0.7877701281315739,0.7591901758382013,20916.0
