,precision,recall,f1-score,support
0,0.4607161945483699,0.4444444444444444,0.45243406377115863,3879.0
1,0.16666666666666666,0.0002994011976047904,0.0005977286312014345,3340.0
2,0.8952112676056339,0.9410719573586023,0.9175689331600982,3377.0
3,0.9793205317577548,1.0,0.9895522388059702,5967.0
4,0.5784717607973422,1.0,0.7329516753662233,4353.0
accuracy,0.7278160260087971,0.7278160260087971,0.7278160260087971,0.7278160260087971
macro avg,0.6160772842751534,0.6771631606001304,0.6186209279469304,20916.0
weighted avg,0.6563686375871759,0.7278160260087971,0.6669925074633096,20916.0
