,precision,recall,f1-score,support
0,0.7459080280592362,0.24671307037896364,0.37078651685393255,3879.0
1,0.25793718894800066,0.9,0.4009603841536614,3340.0
2,1.0,0.17199526346950858,0.2935084617327608,3378.0
3,1.0,0.8312384782973018,0.907842957810927,5967.0
4,0.7608695652173914,0.42624080882352944,0.5463917525773195,4352.0
accuracy,0.5430770701855039,0.5430770701855039,0.5430770701855039,0.5430770701855039
macro avg,0.7529429564449256,0.5152375241938607,0.5038980146257203,20916.0
weighted avg,0.7846238190741148,0.5430770701855039,0.5528760758346336,20916.0
