,precision,recall,f1-score,support
0,0.9609511889862328,0.9896880639340037,0.9751079502159005,3879.0
1,0.9997004194128221,0.9991017964071857,0.9994010182689429,3340.0
2,0.9994082840236687,1.0,0.9997040544539805,3378.0
3,0.9998324396782842,1.0,0.9999162128194387,5967.0
4,0.9910292728989613,0.9643923730760395,0.9775293980672952,4353.0
accuracy,0.990534015394177,0.990534015394177,0.990534015394177,0.990534015394177
macro avg,0.9901843209999937,0.9906364466834457,0.9903317267651115,20917.0
weighted avg,0.9907004273479884,0.990534015394177,0.9905401801181727,20917.0
