,precision,recall,f1-score,support
0,0.596797153024911,0.4323279195668987,0.501420242188668,3879.0
1,0.7831196581196581,0.8778443113772455,0.8277809147374365,3340.0
2,0.9975779594308205,0.9754292480757845,0.9863792845382428,3378.0
3,0.963432712897381,0.9802245684598626,0.9717561056653928,5967.0
4,0.5886951292844257,0.6747070985527223,0.6287732819524726,4353.0
accuracy,0.7979155710665965,0.7979155710665965,0.7979155710665965,0.7979155710665965
macro avg,0.7859245225514393,0.7881066292065027,0.7832219658164425,20917.0
weighted avg,0.7941773226224782,0.7979155710665965,0.7925278661704632,20917.0
