,precision,recall,f1-score,support
0,0.589009875917954,0.5996390822376901,0.594276954522228,3879.0
1,0.7948439620081411,0.8769461077844312,0.8338790035587188,3340.0
2,0.9954819277108434,0.9783895796329188,0.9868617497760526,3378.0
3,0.972852912142152,0.9909502262443439,0.9818181818181818,5967.0
4,0.6725025746652935,0.6001838235294118,0.6342884895580378,4352.0
accuracy,0.8168387837062536,0.8168387837062536,0.8168387837062536,0.8168387837062536
macro avg,0.8049382504888769,0.8092217638857593,0.8062248758466438,20916.0
weighted avg,0.8144019231830054,0.8168387837062536,0.8148263418764115,20916.0
