,precision,recall,f1-score,support
0,0.8821548821548821,0.2026295436968291,0.329559748427673,3879.0
1,0.8603145235892692,0.8353293413173652,0.84763785508127,3340.0
2,0.9422492401215805,0.9177027827116637,0.9298140371925615,3378.0
3,0.7558905497846465,1.0,0.8609768414977274,5967.0
4,0.6418363701321901,0.8255974264705882,0.722211055276382,4352.0
accuracy,0.7762478485370051,0.7762478485370051,0.7762478485370051,0.7762478485370051
macro avg,0.8164891131565136,0.7562518188392893,0.7380399074951227,20916.0
weighted avg,0.8023483468721515,0.7762478485370051,0.7425366152007369,20916.0
