,precision,recall,f1-score,support
0,0.9666085223025168,1.0,0.983020780537253,3879.0
1,0.9853137516688919,0.8838323353293414,0.9318181818181819,3340.0
2,1.0,0.9869745411486086,0.9934445768772348,3378.0
3,1.0,1.0,1.0,5967.0
4,0.9172997612329065,0.970824718584884,0.9433035714285715,4353.0
accuracy,0.9732753262896209,0.9732753262896209,0.9732753262896209,0.9732753262896209
macro avg,0.9738444070408632,0.9683263190125668,0.9703174221322483,20917.0
weighted avg,0.9742519600914281,0.9732753262896209,0.9731063996795241,20917.0
