,precision,recall,f1-score,support
0,0.9592555331991952,0.9832431038927558,0.9711012094207511,3879.0
1,0.9997006884166417,1.0,0.9998503218081125,3340.0
2,1.0,0.9997039668442865,0.9998519615099926,3378.0
3,0.9991627595445411,1.0,0.9995812044559845,5967.0
4,0.9861176470588235,0.9630055147058824,0.9744245524296675,4352.0
accuracy,0.9891470644482693,0.9891470644482693,0.9891470644482693,0.9891470644482693
macro avg,0.9888473256438403,0.9891905170885849,0.9889618499249015,20916.0
weighted avg,0.9892685359912765,0.9891470644482693,0.9891517637849359,20916.0
