,precision,recall,f1-score,support
0,0.8752969121140143,0.1899974220159835,0.3122219868671891,3879.0
1,0.8775829680651221,0.8392215568862276,0.8579736761554944,3340.0
2,0.9451182534869618,0.9227353463587922,0.9337926902336728,3378.0
3,0.7579067699733265,1.0,0.8622832369942196,5967.0
4,0.6411558669001751,0.8410291752814151,0.7276160190797973,4353.0
accuracy,0.7785533298274131,0.7785533298274131,0.7785533298274131,0.7785533298274131
macro avg,0.8194121541079198,0.7585967001084837,0.7387775218660746,20917.0
weighted avg,0.8047231668381712,0.7785533298274131,0.7431108418619014,20917.0
